VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Austria,2019,31,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Austria,2020,31,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Austria,2021,31,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Belgium,2017,1,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Belgium,2018,1,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Belgium,2019,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Belgium,2020,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Belgium,2021,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Botswana,2017,1,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Botswana,2018,1,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Botswana,2019,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Botswana,2020,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Botswana,2021,1,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Burkina Faso,2017,0,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Burkina Faso,2018,0,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Burkina Faso,2019,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Burkina Faso,2020,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Burkina Faso,2021,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cabo Verde,2017,0.065,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cabo Verde,2018,0.065,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cabo Verde,2019,0.065,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cabo Verde,2020,0.065,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cabo Verde,2021,0.065,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cuba,2017,6,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cuba,2018,6,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cuba,2019,6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cuba,2020,6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cuba,2021,6,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cyprus,2017,0.2,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Cyprus,2018,0.2,10^9 m3/year,-,FALSE
