VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Estonia,2017,3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Estonia,2018,3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Estonia,2019,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Estonia,2020,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Estonia,2021,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Eswatini,2017,0.66,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Eswatini,2018,0.66,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Eswatini,2019,0.66,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Eswatini,2020,0.66,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Eswatini,2021,0.66,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ethiopia,2017,18,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ethiopia,2018,18,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ethiopia,2019,18,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ethiopia,2020,18,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ethiopia,2021,18,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Fiji,2017,5.273,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Fiji,2018,5.273,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Fiji,2019,5.273,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Fiji,2020,5.273,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Fiji,2021,5.273,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Finland,2017,2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Finland,2018,2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Finland,2019,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Finland,2020,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Finland,2021,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,France,2017,118,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,France,2018,118,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,France,2019,118,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,France,2020,118,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,France,2021,118,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gabon,2017,60,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gabon,2018,60,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gabon,2019,60,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gabon,2020,60,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gabon,2021,60,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gambia,2017,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gambia,2018,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gambia,2019,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gambia,2020,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Gambia,2021,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Georgia,2017,16,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Georgia,2018,16,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Georgia,2019,16,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Georgia,2020,16,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Georgia,2021,16,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Germany,2017,45,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Germany,2018,45,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Germany,2019,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Germany,2020,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Germany,2021,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ghana,2017,25,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ghana,2018,25,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ghana,2019,25,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ghana,2020,25,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ghana,2021,25,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Greece,2017,7.8,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Greece,2018,7.8,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Greece,2019,7.8,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Greece,2020,7.8,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Greece,2021,7.8,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guatemala,2017,25.2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guatemala,2018,25.2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guatemala,2019,25.2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guatemala,2020,25.2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guatemala,2021,25.2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea,2017,38,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea,2018,38,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea,2019,38,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea,2020,38,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea,2021,38,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea-Bissau,2017,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea-Bissau,2018,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea-Bissau,2019,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea-Bissau,2020,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guinea-Bissau,2021,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guyana,2017,103,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guyana,2018,103,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guyana,2019,103,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guyana,2020,103,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Guyana,2021,103,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Haiti,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Haiti,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Haiti,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Haiti,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Haiti,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Honduras,2017,29.91,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Honduras,2018,29.91,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Honduras,2019,29.91,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Honduras,2020,29.91,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Honduras,2021,29.91,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Hungary,2017,6,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Hungary,2018,6,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Hungary,2019,6,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Hungary,2020,6,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Hungary,2021,6,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iceland,2017,20,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iceland,2018,20,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iceland,2019,20,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iceland,2020,20,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iceland,2021,20,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,India,2017,390,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,India,2018,390,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,India,2019,390,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,India,2020,390,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,India,2021,390,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Indonesia,2017,411.7,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Indonesia,2018,411.7,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Indonesia,2019,411.7,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Indonesia,2020,411.7,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Indonesia,2021,411.7,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iran,2017,18.1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iran,2018,18.1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iran,2019,18.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iran,2020,18.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iran,2021,18.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iraq,2017,2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iraq,2018,2,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iraq,2019,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iraq,2020,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Iraq,2021,2,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ireland,2017,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ireland,2018,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ireland,2019,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ireland,2020,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Ireland,2021,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Israel,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Israel,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Israel,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Israel,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Israel,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Italy,2017,31,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Italy,2018,31,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Italy,2019,31,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Italy,2020,31,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Italy,2021,31,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jamaica,2017,3.76,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jamaica,2018,3.76,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jamaica,2019,3.76,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jamaica,2020,3.76,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jamaica,2021,3.76,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Japan,2017,17,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Japan,2018,17,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Japan,2019,17,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Japan,2020,17,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Japan,2021,17,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jordan,2017,0.253,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jordan,2018,0.253,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jordan,2019,0.253,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jordan,2020,0.253,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Jordan,2021,0.253,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kazakhstan,2017,26,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kazakhstan,2018,26,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kazakhstan,2019,26,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kazakhstan,2020,26,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kazakhstan,2021,26,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kenya,2017,3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kenya,2018,3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kenya,2019,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kenya,2020,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kenya,2021,3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kuwait,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kuwait,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kuwait,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kuwait,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kuwait,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kyrgyzstan,2017,11.22,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kyrgyzstan,2018,11.22,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kyrgyzstan,2019,11.22,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kyrgyzstan,2020,11.22,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Kyrgyzstan,2021,11.22,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lao People's Democratic Republic,2017,37.9,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lao People's Democratic Republic,2018,37.9,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lao People's Democratic Republic,2019,37.9,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lao People's Democratic Republic,2020,37.9,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lao People's Democratic Republic,2021,37.9,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Latvia,2017,4.3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Latvia,2018,4.3,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Latvia,2019,4.3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Latvia,2020,4.3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Latvia,2021,4.3,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lebanon,2017,2.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lebanon,2018,2.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lebanon,2019,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lebanon,2020,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lebanon,2021,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lesotho,2017,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lesotho,2018,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lesotho,2019,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lesotho,2020,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lesotho,2021,0.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Liberia,2017,45,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Liberia,2018,45,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Liberia,2019,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Liberia,2020,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Liberia,2021,45,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Libya,2017,0.1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Libya,2018,0.1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Libya,2019,0.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Libya,2020,0.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Libya,2021,0.1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lithuania,2017,1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lithuania,2018,1,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lithuania,2019,1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lithuania,2020,1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Lithuania,2021,1,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Luxembourg,2017,0.08,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Luxembourg,2018,0.08,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Luxembourg,2019,0.08,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Luxembourg,2020,0.08,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Luxembourg,2021,0.08,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Madagascar,2017,50,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Madagascar,2018,50,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Madagascar,2019,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Madagascar,2020,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Madagascar,2021,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malawi,2017,2.5,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malawi,2018,2.5,10^9 m3/year,E,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malawi,2019,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malawi,2020,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malawi,2021,2.5,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malaysia,2017,50,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malaysia,2018,50,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malaysia,2019,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malaysia,2020,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malaysia,2021,50,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Maldives,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Maldives,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Maldives,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Maldives,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Maldives,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mali,2017,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mali,2018,10,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mali,2019,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mali,2020,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mali,2021,10,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malta,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malta,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malta,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malta,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Malta,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritania,2017,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritania,2018,0,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritania,2019,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritania,2020,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritania,2021,0,10^9 m3/year,I,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritius,2017,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritius,2018,0.5,10^9 m3/year,-,FALSE
Water resources,Internal renewable water resources,Overlap between surface water and groundwater,Mauritius,2019,0.5,10^9 m3/year,I,FALSE
